╔══════════════════════════════════════════╗
║      IoT Monitoring Server               ║
║      Protocolo pipe-separated text       ║
╚══════════════════════════════════════════╝
  Puerto   : 9000
  Logs     : logs/server.log
  Auth     : localhost:5000
  HTTP API : http://localhost:9000/

[2026-04-03 15:51:09] IP=SERVER             PORT=9000   RX=SERVER_START                                            TX=9000
[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36668  RX=CONNECTED                                               TX=-
[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36676  RX=CONNECTED                                               TX=-
[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36682  RX=CONNECTED                                               TX=-
[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36680  RX=CONNECTED                                               TX=-
[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36688  RX=CONNECTED                                               TX=-
[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36696  RX=CONNECTED                                               TX=-
[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36676  RX=REGISTER|sensor-01|temperature|plant-a                  TX=OK REGISTERED

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36682  RX=REGISTER|sensor-02|temperature|boiler-room              TX=OK REGISTERED

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36668  RX=REGISTER|sensor-03|vibration|motor-room                 TX=OK REGISTERED

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36680  RX=REGISTER|sensor-04|energy|substation                    TX=OK REGISTERED

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36688  RX=REGISTER|sensor-05|humidity|warehouse                   TX=OK REGISTERED

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36696  RX=REGISTER|sensor-06|operational|assembly-line            TX=OK REGISTERED

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36676  RX=DATA|sensor-01|temperature|20.46|C|2026-04-03T20:51:11Z TX=OK DATA

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36682  RX=DATA|sensor-02|temperature|46.87|C|2026-04-03T20:51:11Z TX=OK DATA

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36668  RX=DATA|sensor-03|vibration|1.9|Hz|2026-04-03T20:51:11Z    TX=OK DATA

[2026-04-03 15:51:11] IP=127.0.0.1          PORT=36680  RX=DATA|sensor-04|energy|322.47|W|2026-04-03T20:51:11Z     TX=OK DATA

